undefinedबाग;garden, park - Baag
लालच;avarice - laalach
अन्याय;injustice - anyaaye
संदिग्ध;dubious - sandigdh
व्यवहार;behaviour, treatment, conduct - vyavhaar
अनाथ;orphan - anaath
दौरान;during - Dauraan
राज़;secret - raaz
सम्मान;respect, regard, esteem  - sammaan
ज़िम्मेदारी;responsibility - ZimmayDaari
वादा;commitment, promise, guarantee - vaaDaa
देखभाल;supervision, care - Dekhbhaal
गर्भवती;pregnant, expectant - garbhvaTii
गतिविधि;development, activity, movement - gaTividhi
प्रयास;attempt, effort, try - prayaas
रीति-रिवाज;custom - reeTi-rivaaJ
चिरस्थायी;everlasting, sustainable - chirsthaayi
आवारा;tramp - awaara
चोर;thief - chor
लोकप्रिय;popular, evergreen - lokpriya
सवाल;question, interrogation  - sawaal 
गीत;song, balled, chant - geeT
क्रोध;anger, madness, rage - krodh
आरोप;accused, blame, allegation, charge - aarope
वर्ग;group, class, caste - varg
सफल;success - safal
दोहराना;repeat, reiterate - Dohraana
नामित करना;nominate, designate - naamiT karna
साहस;courage, confidence, heroism - saahas
दहशत;horror, scare - DahSHaT
प्रशंसक;admirer, fan, follower - praSHansak
पीढ़ी;generation, age  - piidii
बदमाश ;crook - baDmaaSH
संवाद;dialog, conversation  - sanvaaD
साम्राज्य ;empire  - saamraajYa
समर्थन ;support - samarTHan
स्थापना ;establishment, foundation - sTHapnaa
व्यवस्थापक ;legislator, systematizer  - vyavsTHaapak
सुधारक ;reformer  - suDHaarak
घोषित ;declared, stated - GHoSHiT
समानता;similarity, uniformity - samaanTa
गहराई ;deep - gahraayi
दुर्भाग्य;bad luck - DurBHaagya
अध्ययन;study, learning - aDHyayan
राजवंश;dynasty - raajvanSH
काल्पनिक;imaginary - kaalpanik
बर्ताव;treatment - barTaav
गहन;intense - gahan
ईर्ष्यालु;jealous, envious - irSHyaalu
समाप्त;complete, finished - samaapT
अभियान;expedition, campaign  - aBHiyaan
नेतृत्व;leadership, guidance - neTriTv
प्रतिनिधि ;Representative - praTiniDHi
संघर्ष ;battle, struggle - sanGHarSH
व्यक्ति;figure, man, personality - vyakTii
शुरुआत;start-up, beginning, initiate  - shuruaaT
प्रेरित;propel,  motivate - preriT
अभ्यास;practice, exercise, drill - aBHyaas
खिलाफ;against, versus - KHilaaf
नस्लवाद;racism - naslvaaD
उपभोग;consumption,  - upBHog
प्रेमिका;girlfriend - premika
बलिदान;sacrifice - baLiDaaN
जटिल;tangled, problematic, complicated - jatil
आंदोलन;movement  - aanDolan
संगीतकार;musician - sangeeTkaar
पूजा;worship - pooja
भगवान;god - bhagwaan
